at_risk_binary_encoded,studied_credits,num_of_prev_attempts,imd_band_encoded,highest_education_encoded,before_course_click,sum_click,after_course_click,final_score,imd_band,highest_education
0,60,0,2,2,27.0,744.0,717.0,68.7,20-30%,A Level or Equivalent
0,60,0,8,1,302.0,4104.0,3802.0,71.6,80-90%,Lower Than A Level
0,60,0,3,2,127.0,1944.0,1817.0,76.0,30-40%,A Level or Equivalent
0,60,0,6,3,31.0,1150.0,1119.0,77.1,60-70%,HE Qualification
0,60,0,3,1,88.0,1896.0,1808.0,69.9,30-40%,Lower Than A Level
0,60,0,2,4,544.0,4777.0,4233.0,78.9,20-30%,Post Graduate Qualification
1,60,0,8,3,0.0,465.0,465.0,29.3,80-90%,HE Qualification
0,60,0,2,1,149.0,733.0,584.0,54.2,20-30%,Lower Than A Level
0,60,0,8,3,38.0,998.0,960.0,63.7,80-90%,HE Qualification
0,60,0,8,3,180.0,1695.0,1515.0,81.2,80-90%,HE Qualification
0,60,0,9,3,252.0,2343.0,2091.0,48.9,90-100%,HE Qualification
0,60,0,6,1,3.0,3553.0,3550.0,77.3,60-70%,Lower Than A Level
0,240,0,9,3,98.0,934.0,836.0,82.4,90-100%,HE Qualification
0,60,0,2,4,28.0,757.0,729.0,72.3,20-30%,Post Graduate Qualification
0,60,0,6,3,142.0,1358.0,1216.0,70.8,60-70%,HE Qualification
0,60,0,0,3,0.0,1886.0,1886.0,59.8,0-10%,HE Qualification
0,60,0,7,2,325.0,1108.0,783.0,74.2,70-80%,A Level or Equivalent
0,120,0,3,3,8.0,284.0,276.0,59.0,30-40%,HE Qualification
0,60,0,4,2,3.0,2041.0,2038.0,70.7,40-50%,A Level or Equivalent
0,180,0,4,2,32.0,1321.0,1289.0,69.4,40-50%,A Level or Equivalent
1,60,0,5,2,32.0,1011.0,979.0,40.1,50-60%,A Level or Equivalent
0,120,0,8,1,44.0,520.0,476.0,67.30000000000001,80-90%,Lower Than A Level
0,60,0,9,2,174.0,2732.0,2558.0,83.8,90-100%,A Level or Equivalent
1,60,0,2,2,35.0,641.0,606.0,19.6,20-30%,A Level or Equivalent
1,180,0,2,1,2.0,57.0,55.0,21.121739130434783,20-30%,Lower Than A Level
1,60,0,9,1,0.0,287.0,287.0,17.4,90-100%,Lower Than A Level
0,60,0,4,2,241.0,5528.0,5287.0,81.7,40-50%,A Level or Equivalent
1,60,0,7,2,57.0,240.0,183.0,9.5,70-80%,A Level or Equivalent
0,60,0,3,3,102.0,910.0,808.0,75.0,30-40%,HE Qualification
0,240,0,3,2,48.0,1823.0,1775.0,72.0,30-40%,A Level or Equivalent
1,345,0,9,2,0.0,143.0,143.0,4.5,90-100%,A Level or Equivalent
1,120,0,1,2,43.0,1907.0,1864.0,17.8,10-20%,A Level or Equivalent
0,60,0,5,2,142.0,2121.0,1979.0,75.3,50-60%,A Level or Equivalent
0,60,0,8,3,155.0,5645.0,5490.0,70.6,80-90%,HE Qualification
0,120,0,6,3,38.0,452.0,414.0,53.2,60-70%,HE Qualification
1,60,0,9,2,150.0,467.0,317.0,21.121739130434783,90-100%,A Level or Equivalent
1,60,0,2,2,50.0,597.0,547.0,48.8,20-30%,A Level or Equivalent
0,120,0,4,3,166.0,3460.0,3294.0,80.9,40-50%,HE Qualification
1,60,0,4,1,0.0,939.0,939.0,62.2,40-50%,Lower Than A Level
1,120,0,6,1,89.0,611.0,522.0,51.3,60-70%,Lower Than A Level
