studied_credits,imd_band_encoded,highest_education_encoded,before_course_click,sum_click,after_course_click,final_score
60,4,1,22.0,22.0,0.0,41.24271381578947
150,2,1,3.0,173.0,170.0,21.8089552238806
60,8,1,39.0,628.0,589.0,82.83
70,1,3,24.0,661.0,637.0,89.9
60,1,1,0.0,541.0,541.0,18.4
60,5,1,334.0,11267.0,10933.0,76.0
60,9,1,131.0,4386.0,4255.0,83.25
120,6,1,35.0,392.0,357.0,18.066869158878504
120,3,1,260.0,2622.0,2362.0,54.0
60,3,1,0.0,205.0,205.0,11.75
70,4,1,10.0,364.0,354.0,37.55
90,3,3,41.0,516.0,475.0,8.5
120,5,2,132.0,1790.0,1658.0,81.2
60,2,2,74.0,1088.0,1014.0,108.4
30,1,2,48.0,2332.0,2284.0,78.2
30,2,0,1.0,210.0,209.0,0.0
60,5,2,16.0,398.0,382.0,15.2
120,2,2,17.0,1130.0,1113.0,82.08
30,1,3,0.0,112.0,112.0,8.96
60,1,2,79.0,1841.0,1762.0,22.5
60,4,1,2.0,2.0,0.0,9.354555555555557
60,4,1,683.0,7825.0,7142.0,91.25
30,8,1,6.0,926.0,920.0,0.0
120,3,2,1.0,964.0,963.0,23.61
120,5,2,29.0,807.0,778.0,76.0
60,4,2,184.0,3929.0,3745.0,81.2
120,2,2,58.0,354.0,296.0,20.58634969325153
60,6,1,31.0,1297.0,1266.0,67.31
60,2,2,0.0,7.0,7.0,30.72293706293706
135,4,2,25.0,28.0,3.0,19.7685667752443
30,8,3,176.0,10669.0,10493.0,180.22
120,6,2,0.0,1128.0,1128.0,76.5
60,8,1,0.0,320.0,320.0,30.015
60,3,1,5.0,650.0,645.0,22.320000000000004
30,6,2,0.0,364.0,364.0,0.0
120,6,2,28.0,1207.0,1179.0,51.0
120,9,2,55.0,1419.0,1364.0,162.2
120,3,2,89.0,379.0,290.0,10.75
30,0,1,0.0,9.0,9.0,0.0
60,1,2,188.0,1626.0,1438.0,134.925
170,8,3,98.0,1312.0,1214.0,58.7
60,3,1,88.0,1896.0,1808.0,69.9
60,2,1,17.0,646.0,629.0,68.34
60,2,1,96.0,3231.0,3135.0,126.74
120,7,2,0.0,391.0,391.0,65.73
60,0,1,8.0,155.0,147.0,0.0
60,3,1,65.0,294.0,229.0,19.7685667752443
60,5,1,29.0,1019.0,990.0,59.34
120,0,2,74.0,1212.0,1138.0,94.815
120,1,2,0.0,66.0,66.0,9.354555555555557
60,7,1,37.0,399.0,362.0,37.39
